Date,BECI
2018/7/06,71.12432132
2018/7/07,71.12432132
2018/7/08,71.12432132
2018/7/09,71.12432132
2018/7/10,71.12432132
2018/7/11,71.12432132
2018/7/12,71.12432132
2018/7/13,71.12432132
2018/7/14,71.12432132
2018/7/15,71.12432132
2018/7/16,71.12432132
2018/7/17,71.12432132
2018/7/18,71.12432132
2018/7/19,71.12432132
2018/7/20,71.12432132
2018/7/21,71.12432132
2018/7/22,71.12432132
2018/7/23,71.42021274
2018/7/24,71.77731381
2018/7/25,71.95349449
2018/7/26,72.16935497
2018/7/27,72.38586304
2018/7/28,72.60302062
2018/7/29,72.82082969
2018/7/30,73.03929218
2018/7/31,73.12146138
2018/8/01,73.12146138
2018/8/02,73.12146138
2018/8/03,73.12146138
